time,voltage
1719682097499783000,1.105589
1719682097503179000,1.184546
1719682097506646000,1.161987
1719682097510216000,1.155541
1719682097513920000,1.14265
1719682097517969000,1.165209
1719682097522377000,1.234498
1719682097526900000,1.26038
1719682097531804000,1.179712
1719682097536877000,1.18938
1719682097581910000,1.144262
1719682097586368000,1.1781
1719682097591057000,1.137816
1719682097595963000,1.14265
1719682097601245000,1.202271
1719682097606770000,1.229663
1719682097612215000,1.1781
1719682097694015000,1.063694
1719682097731576000,1.07014
1719682097766630000,1.126537
1719682097806784000,1.126537
1719682097848231000,1.110423
1719682097886089000,1.128148
1719682097924768000,1.11848
1719682097960761000,1.131371
1719682097996093000,1.076585
1719682098034165000,1.047581
1719682098079933000,1.092699
1719682098121970000,1.11848
1719682098162879000,1.149096
1719682098201499000,1.11848
1719682098238731000,1.086253
1719682098317508000,1.108812
1719682098353648000,1.057249
1719682098390828000,1.03469
1719682098432500000,1.033078
1719682098481610000,1.113646
1719682098524622000,1.136205
1719682098567273000,1.076585
1719682098607443000,1.097533
1719682098649282000,1.076585
1719682098688756000,1.044358
1719682098727867000,1.052415
1719682098771173000,1.054026
1719682098813763000,1.050803
1719682098856420000,1.066917
1719682098902663000,1.12976
1719682098985690000,1.091087
1719682099025384000,1.08303
1719682099071704000,1.047581
1719682099111637000,1.039524
1719682099156867000,1.112035
1719682099201101000,1.105589
1719682099250758000,1.041135
1719682099295326000,1.08303
1719682099337811000,1.116869
1719682099379081000,1.150707
1719682099424361000,1.100755
1719682099467279000,1.039524
1719682099511498000,1.062083
1719682099555876000,1.128148
1719682099602561000,1.105589
1719682099693015000,1.092699
1719682099736096000,1.11848
1719682099778098000,1.136205
1719682099822156000,1.108812
1719682099865046000,1.050803
1719682099912147000,1.091087
1719682099956866000,1.137816
1719682100009521000,1.074974
1719682100058199000,1.147485
1719682100102711000,1.102367
1719682100154014000,1.11848
1719682100197036000,1.110423
1719682100247032000,1.045969
1719682100298592000,1.14265
1719682100351648000,1.076585
1719682100443237000,1.065305
1719682100487756000,1.066917
1719682100532342000,1.087864
1719682100578548000,1.099144
1719682100623347000,1.050803
1719682100674665000,1.149096
1719682100725056000,1.057249
1719682100773027000,1.124926
1719682100821273000,1.095921
1719682100865100000,1.018576
1719682100910224000,1.078196
1719682100956932000,1.121703
1719682101003763000,1.063694
1719682101054136000,1.11848
1719682101104555000,1.047581
1719682101203320000,1.057249
1719682101253092000,1.115258
1719682101300835000,1.055637
1719682101348912000,1.089476
1719682101398606000,1.108812
1719682101449739000,1.116869
1719682101502106000,1.037913
1719682101556937000,1.11848
1719682101608254000,1.089476
1719682101660002000,1.039524
1719682101709458000,1.087864
1719682101761087000,1.065305
1719682101814028000,1.116869
1719682101864326000,1.071751
1719682101917056000,1.084642
1719682102015609000,1.126537
1719682102066657000,1.068528
1719682102117892000,1.074974
1719682102169715000,1.14265
1719682102221735000,1.062083
1719682102274020000,1.123314
1719682102326541000,1.097533
1719682102381357000,1.033078
1719682102435702000,1.091087
1719682102488433000,1.099144
1719682102543999000,1.050803
1719682102605778000,1.060472
1719682102657939000,1.066917
1719682102709325000,1.152318
1719682102762706000,1.066917
1719682102864141000,1.092699
1719682102924860000,1.102367
1719682102989822000,1.115258
1719682103043869000,1.071751
1719682103097769000,1.057249
1719682103156006000,1.042747
1719682103208932000,1.137816
1719682103262817000,1.084642
1719682103321205000,1.057249
1719682103380021000,1.050803
1719682103441393000,1.079808
1719682103500715000,1.05886
1719682103556353000,1.026633
1719682103612531000,1.086253
1719682103666794000,1.132982
1719682103802031000,1.068528
1719682103848100000,1.147485
1719682103889855000,1.141039
1719682103928965000,1.113646
1719682103968562000,1.121703
1719682104004884000,1.116869
1719682104043566000,1.103978
1719682104078707000,1.036301
1719682104114091000,1.036301
1719682104151855000,1.073362
1719682104189171000,1.115258
1719682104228627000,1.121703
1719682104265232000,1.137816
1719682104300536000,1.078196
1719682104334521000,1.050803
1719682104410971000,1.091087
1719682104447925000,1.115258
1719682104485344000,1.123314
1719682104527900000,1.128148
1719682104567023000,1.113646
1719682104609991000,1.123314
1719682104647222000,1.145873
1719682104685644000,1.134594
1719682104724431000,1.123314
1719682104766665000,1.139428
1719682104807848000,1.115258
1719682104849616000,1.099144
1719682104891490000,1.074974
1719682104929879000,1.102367
1719682104966930000,1.107201
1719682105049343000,1.097533
1719682105091236000,1.074974
1719682105133160000,1.063694
1719682105176613000,1.063694
1719682105218313000,1.078196
1719682105261197000,1.121703
1719682105300863000,1.100755
1719682105344566000,1.123314
1719682105385635000,1.132982
1719682105430858000,1.042747
1719682105477155000,1.076585
1719682105522567000,1.113646
1719682105565371000,1.131371
1719682105609958000,1.073362
1719682105650639000,1.03469
1719682105733929000,1.052415
1719682105773156000,1.033078
1719682105812006000,1.063694
1719682105855613000,1.062083
1719682105899164000,1.107201
1719682105946939000,1.091087
1719682105997377000,1.065305
1719682106041919000,1.155541
1719682106087243000,1.084642
1719682106130219000,1.050803
1719682106175525000,1.07014
1719682106221594000,1.134594
1719682106269920000,1.065305
1719682106314763000,1.071751
1719682106365982000,1.095921
1719682106459565000,1.134594
1719682106502570000,1.14265
1719682106544867000,1.105589
1719682106585756000,1.099144
1719682106629573000,1.050803
1719682106673203000,1.033078
1719682106719247000,1.126537
1719682106762208000,1.131371
1719682106810262000,1.041135
1719682106856046000,1.087864
1719682106899900000,1.121703
1719682106944288000,1.099144
1719682106989604000,1.057249
1719682107035336000,1.066917
1719682107085912000,1.076585
1719682107172806000,1.074974
1719682107224096000,1.099144
1719682107272566000,1.050803
1719682107320171000,1.149096
1719682107366105000,1.073362
1719682107410083000,1.025022
1719682107457931000,1.134594
1719682107509294000,1.025022
1719682107556830000,1.12976
1719682107609858000,1.031467
1719682107662887000,1.134594
1719682107711824000,1.047581
1719682107762002000,1.136205
1719682107809993000,1.033078
1719682107856237000,1.14265
1719682107952986000,1.071751
1719682108007418000,1.060472
1719682108056184000,1.150707
1719682108106637000,1.060472
1719682108152594000,1.071751
1719682108199845000,1.12976
1719682108248908000,1.060472
1719682108305269000,1.060472
1719682108358916000,1.120091
1719682108410664000,1.054026
1719682108460758000,1.115258
1719682108507973000,1.031467
1719682108556332000,1.115258
1719682108605788000,1.033078
1719682108654377000,1.137816
1719682108748656000,1.02341
1719682108804880000,1.02341
1719682108858566000,1.144262
1719682108912458000,1.103978
1719682108962815000,1.076585
1719682109016114000,1.123314
1719682109067355000,1.036301
1719682109117295000,1.124926
1719682109171329000,1.074974
1719682109223702000,1.071751
1719682109275719000,1.147485
1719682109332550000,1.092699
1719682109382291000,1.066917
1719682109433287000,1.128148
1719682109490481000,1.057249
1719682109586971000,1.071751
1719682109642808000,1.060472
1719682109698829000,1.092699
1719682109758727000,1.086253
1719682109815083000,1.113646
1719682109867743000,1.07014
1719682109920850000,1.078196
1719682109976731000,1.136205
1719682110030101000,1.066917
1719682110083660000,1.026633
1719682110140080000,1.074974
1719682110198948000,1.105589
1719682110260547000,1.073362
1719682110314724000,1.144262
1719682110367634000,1.033078
1719682110465255000,1.036301
1719682110518529000,1.107201
1719682110610888000,1.089476
1719682110654364000,1.149096
1719682110692239000,1.141039
1719682110725020000,1.062083
1719682110764327000,1.044358
1719682110799233000,1.103978
1719682110840111000,1.049192
1719682110881979000,1.029856
1719682110931494000,1.028244
1719682110969635000,1.095921
1719682111006717000,1.065305
1719682111040685000,1.084642
1719682111078234000,1.112035
1719682111156493000,1.116869
1719682111199431000,1.050803
1719682111239216000,1.050803
1719682111275270000,1.116869
1719682111314532000,1.131371
1719682111351217000,1.131371
1719682111385786000,1.05886
1719682111421934000,1.052415
1719682111457797000,1.071751
1719682111495380000,1.132982
1719682111538191000,1.065305
1719682111585410000,1.033078
1719682111625884000,1.042747
1719682111664594000,1.03469
1719682111702988000,1.071751
1719682111786313000,1.081419
1719682111826871000,1.108812
1719682111869892000,1.107201
1719682111913957000,1.139428
1719682111956186000,1.108812
1719682111997242000,1.078196
1719682112036609000,1.078196
1719682112077635000,1.071751
1719682112121326000,1.050803
1719682112161127000,1.057249
1719682112202415000,1.03469
1719682112246437000,1.078196
1719682112287756000,1.089476
1719682112328150000,1.12976
1719682112369892000,1.110423
1719682112454771000,1.105589
1719682112496358000,1.055637
1719682112538048000,1.044358
1719682112582357000,1.07014
1719682112624653000,1.078196
1719682112666627000,1.124926
1719682112712774000,1.097533
1719682112762954000,1.049192
1719682112807287000,1.131371
1719682112848102000,1.139428
1719682112891638000,1.112035
1719682112942395000,1.065305
1719682112992154000,1.113646
1719682113048540000,1.112035
1719682113094577000,1.073362
1719682113180048000,1.065305
1719682113229040000,1.137816
1719682113271810000,1.128148
1719682113316686000,1.052415
